Census Tract,PM2.5 Score,PM2.5 Weight,Pollution Burden Score,PB Weight,Education Score,Edu Weight,Poverty Score,Pov Weight,Unemployment Score,Unemp Weight,Housing Burden Score,HB Weight,Ling Iso Score,LI Weight,Incarceration Score,Incar Weight,Avg. Energy Burden (% income),Energy Burden Score,EB Weight,Cumulative Weighted Score (Ignore NaNs)
6037603006,8.179639471,,5.52,,2.086208621,,6.681695221,,4.309,,6.770385193,,6.519,,7.148634985,,2,1.428571429,,5.111582016
6037603007,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,8.594539939,,,N/A,,0
6037603008,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,7.957532861,,,N/A,,0
6037603101,8.259872877,,5.99,,4.401440144,,6.148682497,,4.06,,8.260130065,,6.369,,5.621840243,,2,1.428571429,,5.306944433
6037603102,7.694071064,,7.78,,6.712671267,,6.431219317,,6.451,,5.510755378,,9.395,,3.913043478,,2,1.428571429,,5.645915843
6037603200,8.207773262,,8.64,,3.136313631,,3.308285743,,0.273,,1.626813407,,7.664,,0.4954499494,,1,0,,2.605386109
6037603301,7.68781911,,6.16,,5.752575258,,6.072537822,,7.09,,8.574287144,,8.067,,0.8190091001,,2,1.428571429,,5.685768109
6037603302,7.906637491,,7.74,,6.063606361,,6.240857629,,5.938,,9.325662831,,8.311,,3.80182002,,2,1.428571429,,6.020406147
6037603400,8.104616026,,7.32,,6.135613561,,6.295962328,,4.986,,3.267633817,,6.481,,4.135490394,,1,0,,4.512082482
6037603500,8.143169741,,6.99,,6.875687569,,3.910429817,,2.111,,4.024012006,,7.088,,2.345803842,,2,1.428571429,,3.954629986
6037603600,8.092112118,,6.13,,6.222622262,,4.251077046,,1.959,,6.444222111,,5.11,,2.932254803,,2,1.428571429,,4.175969418
6037603702,7.581535897,,6.45,,5.073507351,,3.802224226,,5.725,,0.7993996998,,4.09,,1.769464105,,1,0,,3.280107459
6037603703,8.267166823,,6.67,,5.097509751,,1.151187256,,0.557,,2.333166583,,3.264,,6.440849343,,1,0,,2.597870452
6037603704,8.144211733,,6.28,,8.447844784,,6.411181244,,7.833,,3.661830915,,9.407,,N/A,,2,1.428571429,,0
6037603705,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,5.712841254,,,N/A,,0
6037603706,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,7.259858443,,,N/A,,0
6037603801,8.044180473,,5.96,,7.851785179,,7.166616571,,4.826,,8.131065533,,7.577,,6.794742164,,2,1.428571429,,6.034213044
6037603802,8.06085235,,6.09,,7.773777378,,6.821961727,,2.941,,7.258629315,,8.553,,5.611729019,,2,1.428571429,,5.506899937
6037603900,8.044180473,,7.86,,8.314831483,,8.075343152,,1.831,,6.150075038,,7.192,,N/A,,2,1.428571429,,0
6037603901,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,4.984833165,,,N/A,,0
6037603902,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,6.825075834,,,N/A,,0
